centrals_mstar,satellites_mstar
9.744920006591494,11.956363
9.782119161954276,11.733918
9.889569079590284,11.615099
9.960574941307971,10.882487
9.97129779629326,10.932546
9.991479678444282,10.809818
10.01139526357094,10.798516
10.111313801447896,10.962858
10.131366256215069,10.838511
10.133120938120591,10.940902
10.14421388681753,10.614426
10.148165564954748,10.838525
10.148907561162062,10.76952
10.167355505343995,10.572554
10.180767825393968,10.735309
10.18609084865787,10.79555
10.197559692076192,10.763001
10.20833374958131,10.45686
10.210006148274083,10.6163435
10.2148170688663,10.420058
10.218212956933314,10.610457
10.226512104366698,10.006438
10.232892199964821,10.779198
10.247881448115377,10.724605
10.257809244534746,10.500928
10.267371481939755,9.650784
10.27857062683974,10.61979
10.279158485048733,10.029109
10.292628518846996,10.150316
10.295016200751437,10.011249
10.300270173253995,10.241068
10.300932917462523,9.76409
10.303644103520138,10.146558
10.30463580628282,10.474016
10.305668881955757,9.825032
10.30644872148594,10.453687
10.31393538004741,10.438683
10.31799081239559,10.4266205
10.31827351230731,9.967688
10.318945155152539,9.933974
10.319025050473458,9.824057
10.321053909402954,10.172058
10.323066796227339,10.419446
10.330198575176938,10.0224085
10.3337312649256,9.733778
10.334378378400766,10.155456
10.336118337571504,10.224686
10.343770132313368,9.494051
10.350723060149537,9.462612
10.352605859476366,10.410334
10.3589546194461,10.149107
10.359612998011315,10.334511
10.360902265814698,10.2306
10.364433823339228,10.070429
10.364730927917424,9.391982
10.365997545785788,10.254157
10.366496350519915,9.623222
10.367630207926076,9.789155
10.368702060656412,10.15447
10.368797664801745,10.150408
10.36923827036494,9.984587
10.371821069686415,9.283382
10.373442085020598,10.011889
10.374387050384458,9.249495
10.37583512295194,10.112551
10.378333847118286,9.78823
10.383281840165925,9.913414
10.384366928855625,9.335913
10.384996167220573,9.419451
10.38968786383665,8.897387
10.390162350005907,9.67757
10.39365092708775,9.847379
10.393724463642675,9.877552
10.398844070203493,9.494521
10.400184477544896,9.980857
10.40038965858194,9.263791
